firstName,lastName,gender,wikia,seasons
Aaron,Reisberger,male,http://survivor.wikia.com/wiki/Aaron_Reisberger,15
Abi-Maria,Gomes,female,http://survivor.wikia.com/wiki/Abi-Maria_Gomes,"25, 31"
Ace,Gordon,male,http://survivor.wikia.com/wiki/Ace_Gordon,17
Adam,Gentry,male,http://survivor.wikia.com/wiki/Adam_Gentry,13
Adam,Klein,male,http://survivor.wikia.com/wiki/Adam_Klein,33
Alan,Ball,male,http://survivor.wikia.com/wiki/Alan_Ball,35
Albert,Destrade,male,http://survivor.wikia.com/wiki/Albert_Destrade,23
Alec,Christy,male,http://survivor.wikia.com/wiki/Alec_Christy,29
Alecia,Holden,female,http://survivor.wikia.com/wiki/Alecia_Holden,32
Alex,Angarita,male,http://survivor.wikia.com/wiki/Alex_Angarita,14
Alex,Bell,male,http://survivor.wikia.com/wiki/Alex_Bell,6
Alexis,Jones,female,http://survivor.wikia.com/wiki/Alexis_Jones,16
Alexis,Maxwell,female,http://survivor.wikia.com/wiki/Alexis_Maxwell,28
Ali,Elliott,female,http://survivor.wikia.com/wiki/Ali_Elliott,35
Alicia,Calaway,female,http://survivor.wikia.com/wiki/Alicia_Calaway,"2, 8"
Alicia,Rosa,female,http://survivor.wikia.com/wiki/Alicia_Rosa,24
Alina,Wilson,female,http://survivor.wikia.com/wiki/Alina_Wilson,21
Allie,Pohevitz,female,http://survivor.wikia.com/wiki/Allie_Pohevitz,26
Amanda,Kimmel,female,http://survivor.wikia.com/wiki/Amanda_Kimmel,"15, 16, 20"
Amber,Brkich,female,http://survivor.wikia.com/wiki/Amber_Brkich,"2, 8"
Ami,Cusack,female,http://survivor.wikia.com/wiki/Ami_Cusack,"9, 16"
Amy,O'Hara,female,http://survivor.wikia.com/wiki/Amy_O%27Hara,11
Andrea,Boehlke,female,http://survivor.wikia.com/wiki/Andrea_Boehlke,"22, 26, 34"
Andrew,Savage,male,http://survivor.wikia.com/wiki/Andrew_Savage,"7, 31"
Angela,Perkins,female,http://survivor.wikia.com/wiki/Angela_Perkins,36
Angie,Jakusz,female,http://survivor.wikia.com/wiki/Angie_Jakusz,10
Angie,Layton,female,http://survivor.wikia.com/wiki/Angie_Layton,25
Anna,Khait,female,http://survivor.wikia.com/wiki/Anna_Khait,32
Anthony,Robinson,male,http://survivor.wikia.com/wiki/Anthony_Robinson,14
Aras,Baskauskas,male,http://survivor.wikia.com/wiki/Aras_Baskauskas,"12, 27"
Artis,Silvester,male,http://survivor.wikia.com/wiki/Artis_Silvester,25
Ashlee,Ashby,female,http://survivor.wikia.com/wiki/Ashlee_Ashby,10
Ashley,Massaro,female,http://survivor.wikia.com/wiki/Ashley_Massaro,15
Ashley,Nolan,female,http://survivor.wikia.com/wiki/Ashley_Nolan,35
Ashley,Trainer,female,http://survivor.wikia.com/wiki/Ashley_Trainer,19
Ashley,Underwood,female,http://survivor.wikia.com/wiki/Ashley_Underwood,22
Aubry,Bracco,female,http://survivor.wikia.com/wiki/Aubry_Bracco,"32, 34"
Austin,Carty,male,http://survivor.wikia.com/wiki/Austin_Carty,12
B.B.,Andersen,male,http://survivor.wikia.com/wiki/B.B._Andersen,1
Baylor,Wilson,female,http://survivor.wikia.com/wiki/Baylor_Wilson,29
Becky,Lee,female,http://survivor.wikia.com/wiki/Becky_Lee,13
Ben,Browning,male,http://survivor.wikia.com/wiki/Ben_Browning,19
Ben,Driebergen,male,http://survivor.wikia.com/wiki/Ben_Driebergen,35
Benry,Henry,male,http://survivor.wikia.com/wiki/Benry_Henry,21
Betsy,Bolan,female,http://survivor.wikia.com/wiki/Betsy_Bolan,19
Bill,Posley,male,http://survivor.wikia.com/wiki/Bill_Posley,24
Billy,Garcia,male,http://survivor.wikia.com/wiki/Billy_Garcia,13
Blake,Towsley,male,http://survivor.wikia.com/wiki/Blake_Towsley,11
Bob,Crowley,male,http://survivor.wikia.com/wiki/Bob_Crowley,17
Bobby,Jon Drinkard,male,http://survivor.wikia.com/wiki/Bobby_Jon_Drinkard,"10, 11"
Bobby,Mason,male,http://survivor.wikia.com/wiki/Bobby_Mason,12
Boo,Bernis,male,http://survivor.wikia.com/wiki/Boo_Bernis,14
Brad,Culpepper,male,http://survivor.wikia.com/wiki/Brad_Culpepper,"27, 34"
Brad,Virata,male,http://survivor.wikia.com/wiki/Brad_Virata,13
Bradley,Kleihege,male,http://survivor.wikia.com/wiki/Bradley_Kleihege,36
Brady,Finta,male,http://survivor.wikia.com/wiki/Brady_Finta,9
Brandon,Bellinger,male,http://survivor.wikia.com/wiki/Brandon_Bellinger,11
Brandon,Hantz,male,http://survivor.wikia.com/wiki/Brandon_Hantz,"23, 26"
Brandon,Quinton,male,http://survivor.wikia.com/wiki/Brandon_Quinton,3
Brenda,Lowe,female,http://survivor.wikia.com/wiki/Brenda_Lowe,"21, 26"
Brendan,Shapiro,male,http://survivor.wikia.com/wiki/Brendan_Shapiro,36
Brendan,Synnott,female,http://survivor.wikia.com/wiki/Brendan_Synnott,18
Bret,LaBelle,male,http://survivor.wikia.com/wiki/Bret_LaBelle,33
Brett,Clouser,male,http://survivor.wikia.com/wiki/Brett_Clouser,19
Brian,Corridan,male,http://survivor.wikia.com/wiki/Brian_Corridan,11
Brian,Heidik,male,http://survivor.wikia.com/wiki/Brian_Heidik,5
Brianna,Varela,female,http://survivor.wikia.com/wiki/Brianna_Varela,11
Brice,Johnston,male,http://survivor.wikia.com/wiki/Brice_Johnston,28
Brook,Geraghty,female,http://survivor.wikia.com/wiki/Brook_Geraghty,9
Brooke,Struck,female,http://survivor.wikia.com/wiki/Brooke_Struck,11
Bruce,Kanegai,male,http://survivor.wikia.com/wiki/Bruce_Kanegai,12
Burton,Roberts,male,http://survivor.wikia.com/wiki/Burton_Roberts,7
Butch,Lockley,male,http://survivor.wikia.com/wiki/Butch_Lockley,6
Caleb,Bankston,male,http://survivor.wikia.com/wiki/Caleb_Bankston,27
Caleb,Reynolds,male,http://survivor.wikia.com/wiki/Caleb_Reynolds,"32, 34"
Candace,Smith,female,http://survivor.wikia.com/wiki/Candace_Smith,18
Candice,Woodcock,female,http://survivor.wikia.com/wiki/Candice_Woodcock,"13, 20, 27"
Cao,Boi Bui,male,http://survivor.wikia.com/wiki/Cao_Boi_Bui,13
Carl,Bilancione,male,http://survivor.wikia.com/wiki/Carl_Bilancione,3
Carolina,Eastwood,female,http://survivor.wikia.com/wiki/Carolina_Eastwood,18
Carolyn,Rivera,female,http://survivor.wikia.com/wiki/Carolyn_Rivera,30
Carter,Williams,male,http://survivor.wikia.com/wiki/Carter_Williams,25
Caryn,Groedel,female,http://survivor.wikia.com/wiki/Caryn_Groedel,10
Cassandra,Franklin,female,http://survivor.wikia.com/wiki/Cassandra_Franklin,14
CeCe,Taylor,female,http://survivor.wikia.com/wiki/CeCe_Taylor,33
Cecilia,Mansilla,female,http://survivor.wikia.com/wiki/Cecilia_Mansilla,13
Chad,Crittenden,male,http://survivor.wikia.com/wiki/Chad_Crittenden,9
Charlie,Herschel,male,http://survivor.wikia.com/wiki/Charlie_Herschel,17
Chase,Rice,male,http://survivor.wikia.com/wiki/Chase_Rice,21
Chelsea,Meissner,female,http://survivor.wikia.com/wiki/Chelsea_Meissner,24
Chelsea,Townsend,female,http://survivor.wikia.com/wiki/Chelsea_Townsend,36
Chet,Welch,male,http://survivor.wikia.com/wiki/Chet_Welch,16
Chicken,Morris,male,http://survivor.wikia.com/wiki/Chicken_Morris,15
Chris,Daugherty,male,http://survivor.wikia.com/wiki/Chris_Daugherty,9
Chris,Hammons,male,http://survivor.wikia.com/wiki/Chris_Hammons,33
Chris,Noble,male,http://survivor.wikia.com/wiki/Chris_Noble,36
Chrissy,Hofbeck,female,http://survivor.wikia.com/wiki/Chrissy_Hofbeck,35
Christa,Hastie,female,http://survivor.wikia.com/wiki/Christa_Hastie,7
Christina,Cha,female,http://survivor.wikia.com/wiki/Christina_Cha,24
Christine,Shields-Markoski,female,http://survivor.wikia.com/wiki/Christine_Shields_Markoski,23
Christy,Smith,female,http://survivor.wikia.com/wiki/Christy_Smith,6
Ciera,Eastin,female,http://survivor.wikia.com/wiki/Ciera_Eastin,"27, 31, 34"
Cindy,Hall,female,http://survivor.wikia.com/wiki/Cindy_Hall,11
Cirie,Fields,female,http://survivor.wikia.com/wiki/Cirie_Fields,"12, 16, 20, 34"
Clarence,Black,male,http://survivor.wikia.com/wiki/Clarence_Black,3
Clay,Jordan,male,http://survivor.wikia.com/wiki/Clay_Jordan,5
Cliff,Robinson,male,http://survivor.wikia.com/wiki/Cliff_Robinson,28
Coach,Wade,male,http://survivor.wikia.com/wiki/Coach_Wade,"18, 20, 23"
Coby,Archa,male,http://survivor.wikia.com/wiki/Coby_Archa,10
Colby,Donaldson,male,http://survivor.wikia.com/wiki/Colby_Donaldson,"2, 8, 20"
Cole,Medders,male,http://survivor.wikia.com/wiki/Cole_Medders,35
Colleen,Haskell,female,http://survivor.wikia.com/wiki/Colleen_Haskell,1
Colton,Cumbie,male,http://survivor.wikia.com/wiki/Colton_Cumbie,"24, 27"
Corinne,Kaplan,female,http://survivor.wikia.com/wiki/Corinne_Kaplan,"17, 26"
Courtney,Marit,female,http://survivor.wikia.com/wiki/Courtney_Marit,12
Courtney,Yates,female,http://survivor.wikia.com/wiki/Courtney_Yates,"15, 20"
Cristina,Coria,female,http://survivor.wikia.com/wiki/Cristina_Coria,13
Crystal,Cox,female,http://survivor.wikia.com/wiki/Crystal_Cox,17
Cydney,Gillon,female,http://survivor.wikia.com/wiki/Cydney_Gillon,32
Dale,Wentworth,male,http://survivor.wikia.com/wiki/Dale_Wentworth,29
Dan,Barry,male,http://survivor.wikia.com/wiki/Dan_Barry,12
Dan,Foley,male,http://survivor.wikia.com/wiki/Dan_Foley,30
Dan,Kay,male,http://survivor.wikia.com/wiki/Dan_Kay,17
Dan,Lembo,male,http://survivor.wikia.com/wiki/Dan_Lembo,21
Dana,Lambert,female,http://survivor.wikia.com/wiki/Dana_Lambert,25
Daniel,Lue,male,http://survivor.wikia.com/wiki/Daniel_Lue,6
Danielle,DiLorenzo,female,http://survivor.wikia.com/wiki/Danielle_DiLorenzo,"12, 20"
Danni,Boatwright,female,http://survivor.wikia.com/wiki/Danni_Boatwright,11
Darnell,Hamilton,male,http://survivor.wikia.com/wiki/Darnell_Hamilton,32
Darrah,Johnson,female,http://survivor.wikia.com/wiki/Darrah_Johnson,7
Dave,Ball,male,http://survivor.wikia.com/wiki/Dave_Ball,19
Dave,Cruser,male,http://survivor.wikia.com/wiki/Dave_Cruser,15
Dave,Johnson,male,http://survivor.wikia.com/wiki/Dave_Johnson,6
David,Murphy,male,http://survivor.wikia.com/wiki/David_Murphy,22
David,Samson,male,http://survivor.wikia.com/wiki/David_Samson,28
David,Wright,male,http://survivor.wikia.com/wiki/David_Wright,33
Dawn,Meehan,female,http://survivor.wikia.com/wiki/Dawn_Meehan,"23, 26"
Debb,Eaton,female,http://survivor.wikia.com/wiki/Debb_Eaton,2
Debbie,Beebe,female,http://survivor.wikia.com/wiki/Debbie_Beebe,18
Debbie,Wanner,female,http://survivor.wikia.com/wiki/Debbie_Wanner,"32, 34"
Deena,Bennett,female,http://survivor.wikia.com/wiki/Deena_Bennett,6
Denise,Martin,female,http://survivor.wikia.com/wiki/Denise_Martin,15
Denise,Stapley,female,http://survivor.wikia.com/wiki/Denise_Stapley,25
Desi,Williams,female,http://survivor.wikia.com/wiki/Desi_Williams,35
Desiree,Afuye,female,http://survivor.wikia.com/wiki/Desiree_Afuye,36
Devon,Pinto,male,http://survivor.wikia.com/wiki/Devon_Pinto,35
Diane,Ogden,female,http://survivor.wikia.com/wiki/Diane_Ogden,3
Dirk,Been,male,http://survivor.wikia.com/wiki/Dirk_Been,1
Dolly,Neely,female,http://survivor.wikia.com/wiki/Dolly_Neely,9
Domenick,Abbate,male,http://survivor.wikia.com/wiki/Domenick_Abbate,36
Donathan,Hurley,male,http://survivor.wikia.com/wiki/Donathan_Hurley,36
Dreamz,Herd,male,http://survivor.wikia.com/wiki/Dreamz_Herd,14
Drew,Christy,male,http://survivor.wikia.com/wiki/Drew_Christy,29
Earl,Cole,male,http://survivor.wikia.com/wiki/Earl_Cole,14
Eddie,Fox,male,http://survivor.wikia.com/wiki/Eddie_Fox,26
Edgardo,Rivera,male,http://survivor.wikia.com/wiki/Edgardo_Rivera,14
Edna,Ma,female,http://survivor.wikia.com/wiki/Edna_Ma,23
Elisabeth,Filarski,female,http://survivor.wikia.com/wiki/Elisabeth_Filarski,2
Eliza,Orlins,female,http://survivor.wikia.com/wiki/Eliza_Orlins,"9, 16"
Elyse,Umemoto,female,http://survivor.wikia.com/wiki/Elyse_Umemoto,23
Erica,Durousseau,female,http://survivor.wikia.com/wiki/Erica_Durousseau,14
Erik,Cardona,male,http://survivor.wikia.com/wiki/Erik_Cardona,19
Erik,Huffman,male,http://survivor.wikia.com/wiki/Erik_Huffman,15
Erik,Reichenbach,male,http://survivor.wikia.com/wiki/Erik_Reichenbach,"16, 26"
Erin,Collins,female,http://survivor.wikia.com/wiki/Erin_Collins,5
Erinn,Lobdell,female,http://survivor.wikia.com/wiki/Erinn_Lobdell,18
Ethan,Zohn,male,http://survivor.wikia.com/wiki/Ethan_Zohn,"3, 8"
Fabio,Birza,male,http://survivor.wikia.com/wiki/Fabio_Birza,21
Figgy,Figueroa,female,http://survivor.wikia.com/wiki/Figgy_Figueroa,33
Francesca,Hogi,female,http://survivor.wikia.com/wiki/Francesca_Hogi,"22, 26"
Frank,Garrison,male,http://survivor.wikia.com/wiki/Frank_Garrison,3
Frosti,Zernow,male,http://survivor.wikia.com/wiki/Frosti_Zernow,15
G.C.,Brown,male,http://survivor.wikia.com/wiki/G.C._Brown,17
Gabriel,Cade,male,http://survivor.wikia.com/wiki/Gabriel_Cade,4
Garrett,Adelstein,male,http://survivor.wikia.com/wiki/Garrett_Adelstein,28
Gary,Hogeboom,male,http://survivor.wikia.com/wiki/Gary_Hogeboom,11
Gary,Stritesky,male,http://survivor.wikia.com/wiki/Gary_Stritesky,14
Gervase,Peterson,male,http://survivor.wikia.com/wiki/Gervase_Peterson,"1, 27"
Ghandia,Johnson,female,http://survivor.wikia.com/wiki/Ghandia_Johnson,5
Gillian,Larson,female,http://survivor.wikia.com/wiki/Gillian_Larson,17
Gina,Crews,female,http://survivor.wikia.com/wiki/Gina_Crews,4
Grant,Mattos,male,http://survivor.wikia.com/wiki/Grant_Mattos,22
Greg,Buis,male,http://survivor.wikia.com/wiki/Greg_Buis,1
Gregg,Carey,male,http://survivor.wikia.com/wiki/Gregg_Carey,10
Gretchen,Cordy,female,http://survivor.wikia.com/wiki/Gretchen_Cordy,1
Hali,Ford,female,http://survivor.wikia.com/wiki/Hali_Ford,"30, 34"
Hannah,Shapiro,female,http://survivor.wikia.com/wiki/Hannah_Shapiro,33
Hayden,Moss,male,http://survivor.wikia.com/wiki/Hayden_Moss,27
Heidi,Strobel,female,http://survivor.wikia.com/wiki/Heidi_Strobel,6
Helen,Glover,female,http://survivor.wikia.com/wiki/Helen_Glover,5
Holly,Hoffman,female,http://survivor.wikia.com/wiki/Holly_Hoffman,21
Hope,Driskill,female,http://survivor.wikia.com/wiki/Hope_Driskill,26
Hunter,Ellis,male,http://survivor.wikia.com/wiki/Hunter_Ellis,4
Ian,Rosenberger,male,http://survivor.wikia.com/wiki/Ian_Rosenberger,10
Ibrehem,Rahman,male,http://survivor.wikia.com/wiki/Ibrehem_Rahman,10
J.P.,Calderon,male,http://survivor.wikia.com/wiki/J.P._Calderon,13
J.T.,Thomas,male,http://survivor.wikia.com/wiki/J.T._Thomas,"18, 20, 34"
J'Tia,Taylor,female,http://survivor.wikia.com/wiki/J%27Tia_Taylor,28
Jaclyn,Schultz,female,http://survivor.wikia.com/wiki/Jaclyn_Schultz,29
Jacob,Derwin,male,http://survivor.wikia.com/wiki/Jacob_Derwin,36
Jacquie,Berg,female,http://survivor.wikia.com/wiki/Jacquie_Berg,17
Jaime,Dugan,female,http://survivor.wikia.com/wiki/Jaime_Dugan,15
Jaison,Robinson,male,http://survivor.wikia.com/wiki/Jaison_Robinson,19
Jake,Billingsley,male,http://survivor.wikia.com/wiki/Jake_Billingsley,5
James,Clement,male,http://survivor.wikia.com/wiki/James_Clement,"15, 16, 20"
James,Lim,male,http://survivor.wikia.com/wiki/James_Lim,36
James,Miller,male,http://survivor.wikia.com/wiki/James_Miller,10
Jamie,Newton,male,http://survivor.wikia.com/wiki/Jamie_Newton,11
Jan,Gentry,female,http://survivor.wikia.com/wiki/Jan_Gentry,5
Jane,Bright,female,http://survivor.wikia.com/wiki/Jane_Bright,21
Janet,Koth,female,http://survivor.wikia.com/wiki/Janet_Koth,6
Janu,Tornell,female,http://survivor.wikia.com/wiki/Janu_Tornell,10
Jason,Siska,male,http://survivor.wikia.com/wiki/Jason_Siska,16
Jay,Byars,male,http://survivor.wikia.com/wiki/Jay_Byars,24
Jay,Starrett,male,http://survivor.wikia.com/wiki/Jay_Starrett,33
Jean-Robert,Bellande,male,http://survivor.wikia.com/wiki/Jean-Robert_Bellande,15
Jeanne,Hebert,female,http://survivor.wikia.com/wiki/Jeanne_Hebert,6
Jed,Hildebrand,male,http://survivor.wikia.com/wiki/Jed_Hildebrand,5
Jeff,Kent,male,http://survivor.wikia.com/wiki/Jeff_Kent,25
Jeff,Varner,male,http://survivor.wikia.com/wiki/Jeff_Varner,"2, 31, 34"
Jeff,Wilson,male,http://survivor.wikia.com/wiki/Jeff_Wilson,10
Jefra,Bland,female,http://survivor.wikia.com/wiki/Jefra_Bland,28
Jenn,Brown,female,http://survivor.wikia.com/wiki/Jenn_Brown,30
Jenn,Lyon,female,http://survivor.wikia.com/wiki/Jenn_Lyon,10
Jenna,Bowman,female,http://survivor.wikia.com/wiki/Jenna_Bowman,36
Jenna,Lewis,female,http://survivor.wikia.com/wiki/Jenna_Lewis,"1, 8"
Jenna,Morasca,female,http://survivor.wikia.com/wiki/Jenna_Morasca,"6, 8"
Jennifer,Lanzetti,female,http://survivor.wikia.com/wiki/Jennifer_Lanzetti,32
Jenny,Guzon-Bae,female,http://survivor.wikia.com/wiki/Jenny_Guzon-Bae,13
Jeremiah,Wood,male,http://survivor.wikia.com/wiki/Jeremiah_Wood,28
Jeremy,Collins,male,http://survivor.wikia.com/wiki/Jeremy_Collins,"29, 31"
Jerri,Manthey,female,http://survivor.wikia.com/wiki/Jerri_Manthey,"2, 8, 20"
Jerry,Sims,male,http://survivor.wikia.com/wiki/Jerry_Sims,18
Jessica,deBen,female,http://survivor.wikia.com/wiki/Jessica_deBen,14
Jessica,Johnston,female,http://survivor.wikia.com/wiki/Jessica_Johnston,35
Jessica,Lewis,female,http://survivor.wikia.com/wiki/Jessica_Lewis,33
Jessica,Smith,female,http://survivor.wikia.com/wiki/Jessica_Smith,13
Jessie,Camacho,female,http://survivor.wikia.com/wiki/Jessie_Camacho,3
Jill,Behm,female,http://survivor.wikia.com/wiki/Jill_Behm,21
Jim,Lynch,male,http://survivor.wikia.com/wiki/Jim_Lynch,11
Jim,Rice,male,http://survivor.wikia.com/wiki/Jim_Rice,23
Jimmy,Johnson,male,http://survivor.wikia.com/wiki/Jimmy_Johnson,21
Jimmy,Tarantino,male,http://survivor.wikia.com/wiki/Jimmy_Tarantino,21
Joanna,Ward,female,http://survivor.wikia.com/wiki/Joanna_Ward,6
Joaquin,Souberbielle,male,http://survivor.wikia.com/wiki/Joaquin_Souberbielle,30
Joe,Anglim,male,http://survivor.wikia.com/wiki/Joe_Anglim,"30, 31"
Joe,del Campo,male,http://survivor.wikia.com/wiki/Joe_del_Campo,32
Joe,Dowdle,male,http://survivor.wikia.com/wiki/Joe_Dowdle,18
Joe,Mena,male,http://survivor.wikia.com/wiki/Joe_Mena,35
Joel,Anderson,male,http://survivor.wikia.com/wiki/Joel_Anderson,16
Joel,Klug,male,http://survivor.wikia.com/wiki/Joel_Klug,1
John,Carroll,male,http://survivor.wikia.com/wiki/John_Carroll,4
John,Cochran,male,http://survivor.wikia.com/wiki/John_Cochran,"23, 26"
John,Cody,male,http://survivor.wikia.com/wiki/John_Cody,27
John,Fincher,male,http://survivor.wikia.com/wiki/John_Fincher,19
John,Kenney,male,http://survivor.wikia.com/wiki/John_Kenney,9
John,Palyok,male,http://survivor.wikia.com/wiki/John_Palyok,9
John,Raymond,male,http://survivor.wikia.com/wiki/John_Raymond,5
John,Rocker,male,http://survivor.wikia.com/wiki/John_Rocker,29
Jolanda,Jones,female,http://survivor.wikia.com/wiki/Jolanda_Jones,10
Jon,Dalton,male,http://survivor.wikia.com/wiki/Jon_Dalton,"7, 16"
Jon,Misch,male,http://survivor.wikia.com/wiki/Jon_Misch,29
Jonas,Otsuji,male,http://survivor.wikia.com/wiki/Jonas_Otsuji,24
Jonathan,Libby,male,http://survivor.wikia.com/wiki/Jonathan_Libby,10
Jonathan,Penner,male,http://survivor.wikia.com/wiki/Jonathan_Penner,"13, 16, 25"
Josh,Canfield,male,http://survivor.wikia.com/wiki/Josh_Canfield,29
JP,Hilsabeck,male,http://survivor.wikia.com/wiki/JP_Hilsabeck,35
Judd,Sergeant,male,http://survivor.wikia.com/wiki/Judd_Sergeant,11
Julia,Landauer,female,http://survivor.wikia.com/wiki/Julia_Landauer,26
